ChannelNumber,LowEnd,UpEnd
21,471.25,476.75
22,479.25,484.75
23,487.25,492.75
24,495.25,500.75
25,503.25,508.75
26,511.25,516.75
27,519.25,524.75
28,527.25,532.75
29,535.25,540.75
30,543.25,548.75
31,551.25,556.75
32,559.25,564.75
33,567.25,572.75
34,575.25,580.75
35,583.25,588.75
36,591.25,596.75
37,599.25,604.75
38,607.25,612.75
39,615.25,620.75
40,623.25,628.75
41,631.25,636.75
42,639.25,644.75
43,647.25,652.75
44,655.25,660.75
45,663.25,668.75
46,671.25,676.75
47,679.25,684.75
48,687.25,692.75
49,695.25,700.75
50,703.25,708.75
51,711.25,716.75
52,719.25,724.75
53,727.25,732.75
54,735.25,740.75
55,743.25,748.75
56,751.25,756.75
57,759.25,764.75
58,767.25,772.75
59,775.25,780.75
60,783.25,788.75
61,791.25,796.75
62,799.25,804.75
63,807.25,812.75
64,815.25,820.75
65,823.25,828.75
66,831.25,836.75
67,839.25,844.75
68,847.25,852.75
69,855.25,860.75
70,863.25,868.75
71,871.25,876.75
72,879.25,884.75
73,887.25,892.75
74,895.25,900.75
75,903.25,908.75
76,911.25,916.75
77,919.25,924.75
78,927.25,932.75
79,935.25,940.75
80,943.25,948.75
81,951.25,956.75
